Exchange Date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume
6/4/2024,528.39,,0.59,0.11%,526.46,524.96,529.15,34632661
6/3/2024,527.8,,0.43,0.08%,529.02,522.6,529.31,46835702
5/31/2024,527.37,,4.76,0.91%,523.59,518.36,527.5,90785755
5/30/2024,522.61,,-3.49,-0.66%,524.52,521.33,525.2,46468510
5/29/2024,526.1,,-3.71,-0.70%,525.68,525.37,527.31,45190323
5/28/2024,529.81,,0.37,0.07%,530.27,527.11,530.51,36269602
5/27/2024,,,,,,,,
5/24/2024,529.44,,3.48,0.66%,527.85,526.881,530.27,41291076
5/23/2024,525.96,,-3.87,-0.73%,532.96,524.72,533.07,57211197
5/22/2024,529.83,,-1.53,-0.29%,530.65,527.6,531.38,48389968
5/21/2024,531.36,,1.3,0.25%,529.28,529.07,531.52,33437001
5/20/2024,530.06,,0.61,0.12%,529.57,529.17,531.5601,37764206
5/17/2024,529.45,,0.76,0.14%,528.81,527.32,529.52,59187585
5/16/2024,528.69,,-1.09,-0.21%,529.88,528.54,531.5218,50244827
5/15/2024,529.78,,6.48,1.24%,525.83,525.18,530.08,59504897
5/14/2024,523.3,,2.39,0.46%,521.11,520.56,523.83,57535867
5/13/2024,520.91,,0.07,0.01%,522.56,519.74,522.67,36716361
5/10/2024,520.84,,0.67,0.13%,521.81,519.59,522.635,52233171
5/9/2024,520.17,,2.98,0.58%,517.38,516.705,520.2074,43643668
5/8/2024,517.19,,0.05,0.01%,515.26,515.14,517.74,42047214
5/7/2024,517.14,,0.57,0.11%,517.56,516.45,518.57,52561299
5/6/2024,516.57,,5.28,1.03%,513.75,513.3,516.61,47264703
5/3/2024,511.29,,6.26,1.24%,511.16,508.56,512.55,72756709
5/2/2024,505.03,,4.68,0.94%,504.15,499.55,505.89,62550179
5/1/2024,500.35,,-1.63,-0.32%,501.38,499.865,508.19,80242839
4/30/2024,501.98,,-8.08,-1.58%,508.56,501.98,509.56,77483566
4/29/2024,510.06,,1.8,0.35%,510.09,507.25,510.75,46415449
4/26/2024,508.26,,4.77,0.95%,506.35,505.7,509.88,64306118
4/25/2024,503.49,,-1.92,-0.38%,499.18,497.49,504.27,69122368
4/24/2024,505.41,,-0.24,-0.05%,506.56,503.13,507.37,55928076
4/23/2024,505.65,,5.93,1.19%,501.78,499.5328,506.09,64633620
4/22/2024,499.72,,4.56,0.92%,497.83,495.43,502.38,67961048
4/19/2024,495.16,,-4.36,-0.87%,499.44,493.86,500.455,102212587
4/18/2024,499.52,,-1.03,-0.21%,501.98,498.56,504.13,74548085
4/17/2024,500.55,,-2.98,-0.59%,506.05,499.12,506.22,75910305
4/16/2024,503.53,,-0.92,-0.18%,504.94,502.21,506.5,73484020
4/15/2024,504.45,,-6.4,-1.25%,515.13,503.58,515.3,92101447
4/12/2024,510.85,,-7.15,-1.38%,514.37,509.08,515.815,92561094
4/11/2024,518,,3.88,0.75%,515.68,512.08,519.48,70099007
4/10/2024,514.12,,-5.2,-1.00%,513.48,512.09,516.16,82652806
4/9/2024,519.32,,0.6,0.12%,520.5,514.35,520.75,68124385
4/8/2024,518.72,,0.29,0.06%,519.15,517.89,520.18,48401752
4/5/2024,518.43,,5.36,1.04%,514.46,514.01,520.44,74546483
4/4/2024,513.07,,-6.34,-1.22%,523.52,512.755,523.8674,96858074
4/3/2024,519.41,,0.57,0.11%,517.72,517.665,520.95,59155759
4/2/2024,518.84,,-3.32,-0.64%,518.24,516.48,518.98,74230308
4/1/2024,522.16,,-0.91,-0.17%,523.83,520.97,524.38,62477540
3/29/2024,,,,,,,,
3/28/2024,523.07,,-0.1,-0.02%,523.21,522.78,524.61,96294886
3/27/2024,523.17,,4.36,0.84%,521.71,519.485,523.21,82999777
3/26/2024,518.81,,-0.96,-0.18%,521.23,518.4,521.58,65463744
3/25/2024,519.77,,-1.44,-0.28%,519.8,519.61,520.95,48512108
3/22/2024,521.21,,-0.99,-0.19%,522.11,520.97,522.605,79070842
3/21/2024,522.2,,1.72,0.33%,523.39,521.91,524.11,60256112
3/20/2024,520.48,,4.77,0.92%,515.77,515.08,520.62,69594574
3/19/2024,515.71,,2.85,0.56%,512.15,511.12,515.995,60755263
3/18/2024,512.86,,3.03,0.59%,514,512.44,515.48,88893331
3/15/2024,509.83,,-5.12,-0.99%,510.21,508.122,511.7,107646297
3/14/2024,514.95,,-1.02,-0.20%,516.97,511.82,517.125,110171820
3/13/2024,515.97,,-0.81,-0.16%,517.11,514.49,517.29,55104088
3/12/2024,516.78,,5.5,1.08%,513.45,510.86,517.38,73114439
3/11/2024,511.28,,-0.44,-0.09%,510.48,508.5,511.88,62557183
3/8/2024,511.72,,-3.09,-0.60%,515.46,511.13,518.2201,86532535
3/7/2024,514.81,,5.06,0.99%,513.14,509.8053,515.89,58652085
3/6/2024,509.75,,2.57,0.51%,510.55,508.42,512.069,68382367
3/5/2024,507.18,,-5.12,-1.00%,510.24,504.91,510.7,72855623
3/4/2024,512.3,,-0.55,-0.11%,512.03,512,514.2,49799257
3/1/2024,512.85,,4.77,0.94%,508.98,508.56,513.29,76844844
2/29/2024,508.08,,1.82,0.36%,508.07,505.35,509.74,83924795
2/28/2024,506.26,,-0.67,-0.13%,505.33,504.96,506.855,56506634
2/27/2024,506.93,,0.94,0.19%,506.7,504.75,507.16,48854528
2/26/2024,505.99,,-1.86,-0.37%,508.3,505.86,508.75,50386738
2/23/2024,507.85,,0.35,0.07%,509.27,507.1,510.13,61321818
2/22/2024,507.5,,10.29,2.07%,504.01,503.02,508.49,76402535
2/21/2024,497.21,,0.45,0.09%,495.42,493.56,497.37,59603771
2/20/2024,496.76,,-2.75,-0.55%,497.72,494.45,498.41,71736740
2/19/2024,,,,,,,,
2/16/2024,499.51,,-2.5,-0.50%,501.7,498.75,502.87,75532928
2/15/2024,502.01,,3.44,0.69%,499.29,498.795,502.2,61682960
2/14/2024,498.57,,4.49,0.91%,496.79,494.4,499.07,68387827
2/13/2024,494.08,,-6.9,-1.38%,494.53,490.715,497.09,113099199
2/12/2024,500.98,,-0.22,-0.04%,501.17,500.24,503.5,56502283
2/9/2024,501.2,,2.88,0.58%,498.84,498.49,501.65,63979375
2/8/2024,498.32,,0.22,0.04%,498.1,497.26,498.71,52343636
2/7/2024,498.1,,4.12,0.83%,496.29,495.36,498.53,70556506
2/6/2024,493.98,,1.43,0.29%,493.52,492.05,494.32,55918602
2/5/2024,492.55,,-1.8,-0.36%,493.695,490.23,494.3778,75757102
2/2/2024,494.35,,5.15,1.05%,489.65,489.3,496.05,99228192
2/1/2024,489.2,,6.32,1.31%,484.63,483.8,489.23,91891637
1/31/2024,482.88,,-8.01,-1.63%,488.62,482.86,489.0813,126011062
1/30/2024,490.89,,-0.38,-0.08%,490.56,490.11,491.62,58618386
1/29/2024,491.27,,3.86,0.79%,487.73,487.17,491.415,61322751
1/26/2024,487.41,,-0.62,-0.13%,487.59,486.54,489.12,76641609
1/25/2024,488.03,,2.64,0.54%,487.575,485.39,488.305,72524989
1/24/2024,485.39,,0.53,0.11%,487.81,484.8819,488.77,81765039
1/23/2024,484.86,,1.41,0.29%,484.01,482.89,485.105,49945297
1/22/2024,483.45,,1.02,0.21%,484.01,482.78,485.22,75844931
1/19/2024,482.43,,5.94,1.25%,477.65,476.5374,482.72,110834483
1/18/2024,476.49,,4.2,0.89%,474.01,472.42,477.06,91856248
1/17/2024,472.29,,-2.64,-0.56%,471.82,469.87,472.79,68843871
1/16/2024,474.93,,-1.75,-0.37%,475.26,473.06,476.6098,85014870
1/15/2024,,,,,,,,
1/12/2024,476.68,,0.33,0.07%,477.84,475.23,478.6,58026420
1/11/2024,476.35,,-0.21,-0.04%,477.59,472.26,478.12,77940723
1/10/2024,476.56,,2.68,0.57%,474.16,473.87,477.4481,67310640
1/9/2024,473.88,,-0.72,-0.15%,471.87,471.35,474.93,65931439
1/8/2024,474.6,,6.68,1.43%,468.43,468.3,474.75,74879074
1/5/2024,467.92,,0.64,0.14%,467.49,466.43,470.44,86118913
1/4/2024,467.28,,-1.51,-0.32%,468.3,467.05,470.96,84232169
1/3/2024,468.79,,-3.86,-0.82%,470.43,468.17,471.19,103585866
1/2/2024,472.65,,-2.66,-0.56%,472.16,470.49,473.67,123007793
1/1/2024,,,,,,,,
12/29/2023,475.31,,-1.38,-0.29%,476.49,473.3,477.03,122283149
12/28/2023,476.69,,0.18,0.04%,476.88,476.26,477.55,77158116
12/27/2023,476.51,,0.86,0.18%,475.44,474.89,476.66,68000311
12/26/2023,475.65,,2,0.42%,474.07,473.99,476.58,55386952
12/25/2023,,,,,,,,
12/22/2023,473.65,,0.95,0.20%,473.86,471.7,475.38,67160419
12/21/2023,472.7,,4.44,0.95%,471.33,468.84,472.975,86667465
12/20/2023,468.26,,-6.58,-1.39%,473.96,467.82,475.895,102920959
12/19/2023,474.84,,2.87,0.61%,472.53,472.45,474.92,55761805
12/18/2023,471.97,,2.64,0.56%,470.98,469.8929,472.98,70375285
12/15/2023,469.33,,-2.68,-0.57%,469.49,467.4263,470.7,141553673
12/14/2023,472.01,,1.51,0.32%,472.5,469.25,473.73,119026049
12/13/2023,470.5,,6.4,1.38%,464.49,464.12,470.7599,93277960
12/12/2023,464.1,,2.11,0.46%,461.63,460.6,464.2,68327617
12/11/2023,461.99,,1.79,0.39%,459.69,459.47,462.17,65002247
12/8/2023,460.2,,1.97,0.43%,457.46,457.21,460.745,83194404
12/7/2023,458.23,,3.47,0.76%,456.91,456.29,458.9,66995446
12/6/2023,454.76,,-1.84,-0.40%,458.81,454.31,458.84,69124685
12/5/2023,456.6,,-0.09,-0.02%,455.26,454.87,457.59,69793469
12/4/2023,456.69,,-2.41,-0.52%,455.6,454.34,459.1206,72430888
12/1/2023,459.1,,2.7,0.59%,455.77,455.16,459.65,89183400
11/30/2023,456.4,,1.79,0.39%,455.48,453.34,456.76,79752700
11/29/2023,454.61,,-0.32,-0.07%,457.15,454.2,458.32,63145992
11/28/2023,454.93,,0.45,0.10%,454.08,453.5,456.27,62115011
11/27/2023,454.48,,-0.82,-0.18%,454.65,454.0799,455.4901,50505985
